Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
South Bay Lakers,SBL,G League,2019,Pacific,4,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2019,Southwest,3,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2019,Midwest,4,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2019,Southwest,4,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2019,Pacific,5,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2020,NA,NA,Eastern,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2020,NA,NA,Eastern,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2020,NA,NA,Eastern,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakeland Magic,LAK,G League,2020,NA,NA,Eastern,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2020,NA,NA,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2020,NA,NA,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capital City Go-Go,CCG,G League,2020,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2020,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2020,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College Park Skyhawks,CPS,G League,2020,NA,NA,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2020,NA,NA,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2020,NA,NA,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2020,NA,NA,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,EBH,G League,2020,NA,NA,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2020,NA,NA,Eastern,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2020,NA,NA,Western,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2020,NA,NA,Western,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2020,NA,NA,Western,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2020,NA,NA,Western,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2020,NA,NA,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2020,NA,NA,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2020,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Caliente Clippers,ACC,G League,2020,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2020,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2020,NA,NA,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2020,NA,NA,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2020,NA,NA,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2020,NA,NA,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2021,NA,NA,Eastern,1,Yes,1,0,G League Ignite,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,EBH,G League,2021,NA,NA,Eastern,2,Yes,0,1,Lakeland Magic,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2021,NA,NA,Eastern,3,Yes,1,0,Austin Spurs,Yes,1,0,Raptors 905,Yes,NA,NA,NA,NA,0,1,Lakeland Magic,No
Lakeland Magic,LAK,G League,2021,NA,NA,Eastern,4,Yes,1,0,Erie BayHawks,Yes,1,0,Santa Cruz Warriors,Yes,NA,NA,NA,NA,1,0,Delaware Blue Coats,Yes
Long Island Nets,LIN,G League,2021,NA,NA,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2021,NA,NA,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2021,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2021,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2021,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2021,NA,NA,Western,1,Yes,1,0,Rio Grande Valley Vipers,Yes,0,1,Lakeland Magic,No,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2021,NA,NA,Western,2,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2021,NA,NA,Western,3,Yes,0,1,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G League Ignite,GLI,G League,2021,NA,NA,Western,4,Yes,0,1,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2021,NA,NA,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2021,NA,NA,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Caliente Clippers,ACC,G League,2021,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2021,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2021,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2022,NA,NA,Eastern,1,Yes,NA,NA,NA,NA,1,0,Capital City Go-Go,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA
Motor City Cruise,MCC,G League,2022,NA,NA,Eastern,2,Yes,NA,NA,NA,NA,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2022,NA,NA,Eastern,3,Yes,1,0,Long Island Nets,Yes,1,0,Motor City Cruise,Yes,1,0,Raptors 905,Yes,0,2,Rio Grande Valley Vipers,No
Capital City Go-Go,CCG,G League,2022,NA,NA,Eastern,4,Yes,1,0,College Park Skyhawks,Yes,0,1,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA
College Park Skyhawks,CPS,G League,2022,NA,NA,Eastern,5,Yes,0,1,Capital City Go-Go,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2022,NA,NA,Eastern,6,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Gold,GRG,G League,2022,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2022,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Celtics,MNE,G League,2022,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2022,NA,NA,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2022,NA,NA,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakeland Magic,LAK,G League,2022,NA,NA,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2022,NA,NA,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2022,NA,NA,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Charge,CLC,G League,2022,NA,NA,Eastern,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2022,NA,NA,Western,1,Yes,NA,NA,NA,NA,1,0,Texas Legends,Yes,1,0,Agua Caliente Clippers,Yes,2,0,Delaware Blue Coats,Yes
Agua Caliente Clippers,ACC,G League,2022,NA,NA,Western,2,Yes,NA,NA,NA,NA,1,0,South Bay Lakers,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2022,NA,NA,Western,3,Yes,1,0,Santa Cruz Warriors,Yes,0,1,Agua Caliente Clippers,No,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham Squadron,BIR,G League,2022,NA,NA,Western,4,Yes,0,1,Texas Legends,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2022,NA,NA,Western,5,Yes,1,0,Birmingham Squadron,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2022,NA,NA,Western,6,Yes,0,1,South Bay Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2022,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2022,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2022,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2022,NA,NA,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2022,NA,NA,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2022,NA,NA,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2022,NA,NA,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2023,NA,NA,Eastern,1,Yes,NA,NA,NA,NA,1,0,Cleveland Charge,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2023,NA,NA,Eastern,2,Yes,NA,NA,NA,NA,1,0,Capital City Go-Go,Yes,1,0,Long Island Nets,Yes,2,0,Rio Grande Valley Vipers,Yes
Capital City Go-Go,CCG,G League,2023,NA,NA,Eastern,3,Yes,1,0,Fort Wayne Mad Ants,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA
Maine Celtics,MNE,G League,2023,NA,NA,Eastern,4,Yes,0,1,Cleveland Charge,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Charge,CLC,G League,2023,NA,NA,Eastern,5,Yes,1,0,Maine Celtics,Yes,0,1,Long Island Nets,No,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2023,NA,NA,Eastern,6,Yes,0,1,Capital City Go-Go,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2023,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakeland Magic,LAK,G League,2023,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motor City Cruise,MCC,G League,2023,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2023,NA,NA,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College Park Skyhawks,CPS,G League,2023,NA,NA,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2023,NA,NA,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2023,NA,NA,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Gold,GRG,G League,2023,NA,NA,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2023,NA,NA,Eastern,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2023,NA,NA,Western,1,Yes,NA,NA,NA,NA,0,1,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2023,NA,NA,Western,2,Yes,NA,NA,NA,NA,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2023,NA,NA,Western,3,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2023,NA,NA,Western,4,Yes,0,1,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2023,NA,NA,Western,5,Yes,1,0,Salt Lake City Stars,Yes,1,0,Stockton Kings,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2023,NA,NA,Western,6,Yes,1,0,South Bay Lakers,Yes,1,0,Memphis Hustle,Yes,1,0,Sioux Falls Skyforce,Yes,0,2,Delaware Blue Coats,No
Santa Cruz Warriors,SCW,G League,2023,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico City Capitanes,MXC,G League,2023,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario Clippers,ONT,G League,2023,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2023,NA,NA,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham Squadron,BIR,G League,2023,NA,NA,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G League Ignite,GLI,G League,2023,NA,NA,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2023,NA,NA,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2023,NA,NA,Western,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2023,NA,NA,Western,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osceola Magic,OSC,G League,2024,NA,NA,Eastern,1,Yes,NA,NA,NA,NA,0,1,Long Island Nets,No,NA,NA,NA,NA,NA,NA,NA,NA
Maine Celtics,MNE,G League,2024,NA,NA,Eastern,2,Yes,NA,NA,NA,NA,1,0,Delaware Blue Coats,Yes,1,0,Long Island Nets,Yes,1,2,Oklahoma City Blue,No
Indiana Mad Ants,IND,G League,2024,NA,NA,Eastern,3,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capital City Go-Go,CCG,G League,2024,NA,NA,Eastern,4,Yes,0,1,Long Island Nets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2024,NA,NA,Eastern,5,Yes,1,0,Capital City Go-Go,Yes,1,0,Osceola Magic,Yes,0,1,Maine Celtics,No,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2024,NA,NA,Eastern,6,Yes,1,0,Indiana Mad Ants,Yes,0,1,Maine Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2024,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College Park Skyhawks,CPS,G League,2024,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motor City Cruise,MCC,G League,2024,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham Squadron,BIR,G League,2024,NA,NA,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Charge,CLC,G League,2024,NA,NA,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2024,NA,NA,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2024,NA,NA,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2024,NA,NA,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2024,NA,NA,Eastern,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Gold,GRG,G League,2024,NA,NA,Eastern,16,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2024,NA,NA,Western,1,Yes,NA,NA,NA,NA,1,0,Santa Cruz Warriors,Yes,0,1,Oklahoma City Blue,No,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2024,NA,NA,Western,2,Yes,NA,NA,NA,NA,0,1,Oklahoma City Blue,No,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2024,NA,NA,Western,3,Yes,1,0,Rio Grande Valley Vipers,Yes,1,0,Sioux Falls Skyforce,Yes,1,0,Stockton Kings,Yes,2,1,Maine Celtics,Yes
Santa Cruz Warriors,SCW,G League,2024,NA,NA,Western,4,Yes,1,0,Salt Lake City Stars,Yes,0,1,Stockton Kings,No,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2024,NA,NA,Western,5,Yes,0,1,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2024,NA,NA,Western,6,Yes,0,1,Oklahoma City Blue,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2024,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico City Capitanes,MXC,G League,2024,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2024,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rip City Remix,RIP,G League,2024,NA,NA,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2024,NA,NA,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2024,NA,NA,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario Clippers,ONT,G League,2024,NA,NA,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2024,NA,NA,Western,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G League Ignite,GLI,G League,2024,NA,NA,Western,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
