No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,URL,Team,Season
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,0,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
15,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,10,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
11,Trae Young,PG,6-1,164,"September 19, 1998",us US,6,Oklahoma,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",us US,3,Duke,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
5,Dyson Daniels,SG,6-8,199,"March 17, 2003",au AU,2,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us US,4,USC,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,5,Lipscomb,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us US,5,Virginia,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
8,David Roddy,PF,6-4,255,"March 27, 2001",us US,2,Colorado State,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
27,Vit Krejci,PG,6-8,195,"June 19, 2000",cz CZ,3,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
13,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs RS,7,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
2,Keaton Wallace  (TW),PG,6-3,195,"February 26, 1999",us US,0,Texas-San Antonio,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
22,Larry Nance Jr.,PF,6-8,245,"January 1, 1993",us US,9,Wyoming,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",us US,1,Michigan,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
0,Dominick Barlow  (TW),SF,6-9,221,"May 26, 2003",us US,2,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,1,Washington State,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
NA,Cody Zeller,C,6-11,240,"October 5, 1992",us US,11,Indiana,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,4,Oregon,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,7,"Colorado-Colorado Springs, Colorado",https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,7,Duke,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,15,UCLA,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,8,California,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
88,Neemias Queta,C,7-0,245,"July 13, 1999",pt PT,3,Utah State University,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,7,Vanderbilt,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,17,Florida,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
30,Sam Hauser,PF,6-8,215,"December 8, 1997",us US,3,"Marquette, Virginia",https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
27,Jordan Walsh,PF,6-7,205,"March 3, 2004",us US,1,Arkansas,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
26,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,4,Michigan State,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
44,Jaden Springer,SG,6-4,204,"September 25, 2002",us US,3,Tennessee,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv LV,8,,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
13,Drew Peterson  (TW),PF,6-9,205,"November 9, 1999",us US,1,"Rice University, USC",https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
20,JD Davison  (TW),PG,6-1,195,"October 3, 2002",us US,2,Alabama,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
55,Baylor Scheierman,SG,6-6,205,"September 26, 2000",us US,0,"South Dakota State, Creighton",https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
NA,Anton Watson  (TW),SF,6-8,225,"October 6, 2000",us US,0,Gonzaga,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,5,"Pitt, UNC",https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
22,Jalen Wilson,PF,6-8,225,"November 4, 2000",us US,1,Kansas,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
45,Keon Johnson,SG,6-5,186,"March 10, 2002",us US,3,Tennessee,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
7,Shake Milton,SG,6-5,205,"September 26, 1996",us US,6,SMU,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,5,Georgia,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,6,LSU,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
1,Ziaire Williams,SF,6-9,215,"September 12, 2001",us US,3,Stanford,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,8,Florida,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
21,Noah Clowney,PF,6-10,210,"July 14, 2004",us US,1,Alabama,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
24,Cam Thomas,SG,6-4,210,"October 13, 2001",jp JP,3,LSU,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
9,Trendon Watford,PF,6-9,240,"November 9, 2000",us US,3,LSU,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
13,Tyrese Martin  (TW),SG,6-6,215,"March 7, 1999",us US,1,"Rhode Island, UConn",https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
20,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us US,3,UNC,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
0,Dariq Whitehead,SF,6-7,220,"August 1, 2004",us US,1,Duke,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
NA,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",ba BA,10,,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
NA,De'Anthony Melton,PG,6-2,200,"May 28, 1998",us US,6,USC,https://www.basketball-reference.com/teams/BRK/2025.html,BRK,2024-2025
11,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us US,3,Illinois,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch CH,13,USC,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
14,Matas Buzelis,SF,6-10,209,"October 13, 2004",us US,0,,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
15,Julian Phillips,SF,6-8,198,"November 5, 2003",us US,1,Tennessee,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
0,Coby White,SG,6-5,195,"February 16, 2000",us US,5,UNC,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
3,Josh Giddey,PG,6-8,210,"October 10, 2002",au AU,3,,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
7,Jalen Smith,C,6-10,215,"March 16, 2000",us US,4,Maryland,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
25,Dalen Terry,SG,6-7,195,"July 12, 2002",us US,2,Arizona,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
8,Zach LaVine,SF,6-5,200,"March 10, 1995",us US,10,UCLA,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
22,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,5,Iowa State,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
44,Patrick Williams,PF,6-7,215,"August 26, 2001",us US,4,Florida State,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us US,5,UCLA,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
27,Chris Duarte,SG,6-6,190,"June 13, 1997",do DO,3,Oregon,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,6,West Virginia,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
13,Torrey Craig,SF,6-7,221,"December 19, 1990",us US,7,USC Upstate,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
32,E.J. Liddell  (TW),PF,6-7,240,"December 18, 2000",us US,1,Ohio State,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
21,Adama Sanogo  (TW),C,6-9,245,"February 12, 2002",ml ML,1,UConn,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
NA,DJ Steward  (TW),SG,6-2,163,"October 2, 2001",us US,0,Duke,https://www.basketball-reference.com/teams/CHI/2025.html,CHI,2024-2025
11,Cody Martin,SF,6-5,205,"September 28, 1995",us US,5,"NC State, Nevada",https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
10,Josh Green,SG,6-5,200,"November 16, 2000",au AU,4,Arizona,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,10,"Liberty, Duke",https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
14,Moussa Diabaté  (TW),C,6-11,210,"January 21, 2002",fr FR,2,Michigan,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
31,Tidjane Salaün,PF,6-9,207,"August 10, 2005",fr FR,0,,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
24,Brandon Miller,SF,6-9,201,"November 22, 2002",us US,1,Alabama,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,4,,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
22,Vasilije Micić,PG,6-5,200,"January 13, 1994",rs RS,1,,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
2,Grant Williams,PF,6-6,236,"November 30, 1998",us US,5,Tennessee,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
0,Miles Bridges,PF,6-7,225,"March 21, 1998",us US,5,Michigan State,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
67,Taj Gibson,C,6-9,232,"June 24, 1985",us US,15,USC,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
23,Tre Mann,PG,6-3,178,"February 3, 2001",us US,3,Florida,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
4,Nick Richards,C,7-0,245,"November 29, 1997",jm JM,4,Kentucky,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
8,Nick Smith Jr.,SG,6-5,185,"April 18, 2004",us US,1,Arkansas,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
25,KJ Simpson  (TW),PG,6-0,189,"August 8, 2002",us US,0,Colorado,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
5,Mark Williams,C,7-0,241,"December 16, 2001",us US,2,Duke,https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
21,Isaiah Wong  (TW),SG,6-4,184,"January 28, 2001",us US,1,Miami (FL),https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
3,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us US,5,"Oral Roberts, Tulsa",https://www.basketball-reference.com/teams/CHO/2025.html,CHO,2024-2025
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us US,7,Texas,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
20,Georges Niang,PF,6-7,230,"June 17, 1993",us US,8,Iowa State,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
45,Donovan Mitchell,SG,6-3,215,"September 7, 1996",us US,7,Louisville,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
10,Darius Garland,PG,6-1,192,"January 26, 2000",us US,5,Vanderbilt,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
2,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,5,Virginia,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
4,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,3,USC,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
5,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,4,Utah State University,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
3,Caris LeVert,SF,6-6,205,"August 25, 1994",us US,8,Michigan,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
35,Isaac Okoro,SG,6-5,225,"January 26, 2001",us US,4,Auburn,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
32,Dean Wade,PF,6-9,228,"November 20, 1996",us US,5,Kansas State,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
9,Craig Porter Jr.,PG,6-2,186,"February 26, 2000",us US,1,"Vincennes University, Wichita State",https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
24,Jaylon Tyson,SG,6-6,215,"December 2, 2002",us US,0,"Texas, Texas Tech, California",https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca CA,13,Texas,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
33,Luke Travers  (TW),SG,6-8,199,"September 3, 2001",au AU,0,,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
15,JT Thor  (TW),PF,6-10,205,"August 26, 2002",us US,3,Auburn,https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
1,Max Strus,SF,6-5,215,"March 28, 1996",us US,5,"Lewis (IL), DePaul",https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
NA,Emoni Bates  (TW),SF,6-10,170,"January 28, 2004",us US,1,"Memphis, Eastern Michigan",https://www.basketball-reference.com/teams/CLE/2025.html,CLE,2024-2025
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,5,Arkansas,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
5,Quentin Grimes,SG,6-5,205,"May 8, 2000",us US,3,"Kansas, Houston",https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,10,Colorado,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,13,Duke,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
31,Klay Thompson,SF,6-5,215,"February 8, 1990",us US,11,Washington State,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
13,Naji Marshall,SF,6-7,220,"January 24, 1998",us US,4,Xavier,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,1,Duke,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,5,Kentucky,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
1,Jaden Hardy,SG,6-4,198,"July 5, 2002",us US,2,,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,10,Stanford,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
77,Luka Dončić,PG,6-6,230,"February 28, 1999",si SI,6,,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
8,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",ca CA,1,"Clemson, Marquette",https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
0,Jazian Gortman  (TW),PG,6-2,184,"April 14, 2003",us US,0,,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
20,Kessler Edwards  (TW),SF,6-8,215,"August 9, 2000",us US,3,Pepperdine,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
10,Brandon Williams  (TW),PG,6-1,190,"November 22, 1999",us US,2,Arizona,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
NA,Dante Exum,PG,6-5,214,"July 13, 1995",au AU,7,,https://www.basketball-reference.com/teams/DAL/2025.html,DAL,2024-2025
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,5,Missouri,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
4,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,16,UCLA,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
3,Julian Strawther,SG,6-7,205,"April 18, 2002",us US,1,Gonzaga,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
8,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,2,UCLA,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
0,Christian Braun,SG,6-6,218,"April 17, 2001",us US,2,Kansas,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rs RS,9,,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,7,Kentucky,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
5,Hunter Tyson,PF,6-8,215,"June 13, 2000",us US,1,Clemson,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us US,4,Arizona,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
32,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,10,Arizona,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,16,Texas A&M,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
9,Dario Šarić,C,6-10,225,"April 8, 1994",hr HR,7,,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
23,Trey Alexander  (TW),SG,6-4,185,"May 2, 2003",us US,0,Creighton,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
24,Jalen Pickett,SG,6-4,209,"October 22, 1999",us US,1,"Siena College, Penn State",https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
13,PJ Hall  (TW),C,6-8,245,"February 21, 2002",us US,0,Clemson,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si SI,4,,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
21,Spencer Jones  (TW),SF,6-7,225,"June 14, 2001",us US,0,Stanford,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
NA,DaRon Holmes,PF,6-10,225,"August 15, 2002",us US,0,Dayton,https://www.basketball-reference.com/teams/DEN/2025.html,DEN,2024-2025
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,8,Florida State,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
0,Ron Holland,SF,6-8,206,"July 7, 2005",us US,0,,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,13,Tennessee,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
19,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it IT,2,,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,4,Washington,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",us US,2,Purdue,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
8,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,11,Michigan,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,2,Memphis,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,3,Oklahoma State,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
25,Marcus Sasser,PG,6-2,195,"September 21, 2000",us US,1,Houston,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
7,Paul Reed,C,6-9,210,"June 14, 1999",us US,4,DePaul,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
14,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us US,2,Duke,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
9,Ausar Thompson,SF,6-7,215,"January 30, 2003",us US,1,,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
24,Daniss Jenkins  (TW),PG,6-3,165,"August 17, 2001",us US,0,"University of the Pacific, Iona College, St. John's",https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
13,Cole Swider  (TW),SF,6-9,220,"May 8, 1999",us US,2,"Villanova, Syracuse",https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
31,Alondes Williams  (TW),SG,6-4,210,"June 19, 1999",us US,2,"Triton College, Oklahoma, Wake Forest",https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
NA,Bobi Klintman,SF,6-9,225,"March 6, 2003",se SE,0,Wake Forest,https://www.basketball-reference.com/teams/DET/2025.html,DET,2024-2025
7,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,8,Oklahoma,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
0,Gary Payton II,SG,6-2,190,"December 1, 1992",us US,8,Oregon State,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
2,Brandin Podziemski,SG,6-5,205,"February 25, 2003",us US,1,"Illinois, Santa Clara",https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
32,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",us US,1,Indiana,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd CD,3,,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,9,UCLA,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
1,Kyle Anderson,PF,6-9,230,"September 20, 1993",us US,10,UCLA,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,12,Michigan State,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,10,Kansas,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
4,Moses Moody,SG,6-5,205,"May 31, 2002",us US,3,Arkansas,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,15,Davidson,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
43,Lindy Waters III,SG,6-6,215,"July 28, 1997",us US,3,Oklahoma State,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
61,Pat Spencer  (TW),PG,6-3,205,"July 4, 1996",us US,1,"Loyola (MD), Northwestern",https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
15,Gui Santos,PF,6-8,209,"June 22, 2002",br BR,1,,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
71,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,11,,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
3,Reece Beekman  (TW),PG,6-1,190,"October 8, 2001",us US,0,Virginia,https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
NA,Quinten Post  (TW),PF,7-0,238,"March 21, 2000",nl NL,0,"Mississippi State, Boston College",https://www.basketball-reference.com/teams/GSW/2025.html,GSW,2024-2025
4,Jalen Green,SG,6-4,178,"February 9, 2002",us US,3,,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
