Team Name,Team Abbr.,League,Season,Division,Division Rank,Opening Round Wins,Opening Round Losses,Opening Round Opp.,Won Opening Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Championship Wins,Championship Losses,Championship Opp.,Won Championship
Akron Firestone Non-Skids,AFN,NBL,1938,Eastern,1,NA,NA,NA,NA,0,2,Akron Goodyear Wingfoots,No,NA,NA,NA,NA
Akron Goodyear Wingfoots,AGW,NBL,1938,Eastern,2,NA,NA,NA,NA,2,0,Akron Firestone Non-Skids,Yes,2,1,Oshkosh All-Stars,Yes
Pittsburgh Pirates,PTS,NBL,1938,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bisons,BFB,NBL,1938,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warren Penns,WRP,NBL,1938,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbus Athletic Supply,CAS,NBL,1938,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1938,Western,1,NA,NA,NA,NA,2,0,Whiting Ciesar All-Americans,Yes,1,2,Akron Goodyear Wingfoots,No
Whiting Ciesar All-Americans,WCA,NBL,1938,Western,2,NA,NA,NA,NA,0,2,Oshkosh All-Stars,No,NA,NA,NA,NA
Fort Wayne General Electrics,FWG,NBL,1938,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1938,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Comellos,CNC,NBL,1938,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kankakee Gallagher Trojans,KGT,NBL,1938,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton Metropolitans,DYM,NBL,1938,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Firestone Non-Skids,AFN,NBL,1939,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,Oshkosh All-Stars,Yes
Akron Goodyear Wingfoots,AGW,NBL,1939,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland White Horses,CWH,NBL,1939,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Pirates,PTS,NBL,1939,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1939,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,Akron Firestone Non-Skids,No
Indianapolis Kautskys,INK,NBL,1939,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1939,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hammond Ciesar All-Americans,HCA,NBL,1939,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Firestone Non-Skids,AFN,NBL,1940,Eastern,1,NA,NA,NA,NA,2,1,Detroit Eagles,Yes,3,2,Oshkosh All-Stars,Yes
Detroit Eagles,DTE,NBL,1940,Eastern,2,NA,NA,NA,NA,1,2,Akron Firestone Non-Skids,No,NA,NA,NA,NA
Akron Goodyear Wingfoots,AGW,NBL,1940,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1940,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1940,Western,1,NA,NA,NA,NA,2,1,Sheboygan Redskins,Yes,2,3,Akron Firestone Non-Skids,No
Sheboygan Redskins,SHR,NBL,1940,Western,2,NA,NA,NA,NA,1,2,Oshkosh All-Stars,No,NA,NA,NA,NA
Chicago Bruins,CHB,NBL,1940,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hammond Ciesar All-Americans,HCA,NBL,1940,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1941,NA,NA,NA,NA,NA,NA,2,0,Akron Firestone Non-Skids,Yes,3,0,Sheboygan Redskins,Yes
Sheboygan Redskins,SHR,NBL,1941,NA,NA,NA,NA,NA,NA,2,1,Detroit Eagles,Yes,0,3,Oshkosh All-Stars,No
Akron Firestone Non-Skids,AFN,NBL,1941,NA,NA,NA,NA,NA,NA,0,2,Oshkosh All-Stars,No,NA,NA,NA,NA
Detroit Eagles,DTE,NBL,1941,NA,NA,NA,NA,NA,NA,1,2,Sheboygan Redskins,No,NA,NA,NA,NA
Chicago Bruins,CHB,NBL,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Goodyear Wingfoots,AGW,NBL,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hammond Ciesar All-Americans,HCA,NBL,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1942,NA,NA,NA,NA,NA,NA,2,0,Indianapolis Kautskys,Yes,2,1,Fort Wayne Zollner Pistons,Yes
Fort Wayne Zollner Pistons,FWZ,NBL,1942,NA,NA,NA,NA,NA,NA,2,1,Akron Goodyear Wingfoots,Yes,1,2,Oshkosh All-Stars,No
Akron Goodyear Wingfoots,AGW,NBL,1942,NA,NA,NA,NA,NA,NA,1,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1942,NA,NA,NA,NA,NA,NA,0,2,Oshkosh All-Stars,No,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bruins,CHB,NBL,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toledo Jim White Chevrolets,TJW,NBL,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1943,NA,NA,NA,NA,NA,NA,2,1,Chicago Studebaker Flyers,Yes,1,2,Sheboygan Redskins,No
Sheboygan Redskins,SHR,NBL,1943,NA,NA,NA,NA,NA,NA,2,0,Oshkosh All-Stars,Yes,2,1,Fort Wayne Zollner Pistons,Yes
Oshkosh All-Stars,OAS,NBL,1943,NA,NA,NA,NA,NA,NA,0,2,Sheboygan Redskins,No,NA,NA,NA,NA
Chicago Studebaker Flyers,CSF,NBL,1943,NA,NA,NA,NA,NA,NA,1,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Toledo Jim White Chevrolets,TJW,NBL,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1944,NA,NA,NA,NA,NA,NA,2,0,Cleveland Chase Brassmen,Yes,3,0,Sheboygan Redskins,Yes
Sheboygan Redskins,SHR,NBL,1944,NA,NA,NA,NA,NA,NA,2,1,Oshkosh All-Stars,Yes,0,3,Fort Wayne Zollner Pistons,No
Oshkosh All-Stars,OAS,NBL,1944,NA,NA,NA,NA,NA,NA,1,2,Sheboygan Redskins,No,NA,NA,NA,NA
Cleveland Chase Brassmen,CCB,NBL,1944,NA,NA,NA,NA,NA,NA,0,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1945,Eastern,1,NA,NA,NA,NA,2,0,Cleveland Allmen Transfers,Yes,3,2,Sheboygan Redskins,Yes
Cleveland Allmen Transfers,CAT,NBL,1945,Eastern,2,NA,NA,NA,NA,0,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Pittsburgh Raiders,PTR,NBL,1945,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1945,Western,1,NA,NA,NA,NA,2,1,Chicago American Gears,Yes,2,3,Fort Wayne Zollner Pistons,No
Chicago American Gears,CAG,NBL,1945,Western,2,NA,NA,NA,NA,1,2,Sheboygan Redskins,No,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1945,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1946,Eastern,1,NA,NA,NA,NA,1,3,Rochester Royals,No,NA,NA,NA,NA
Rochester Royals,RCR,NBL,1946,Eastern,2,NA,NA,NA,NA,3,1,Fort Wayne Zollner Pistons,Yes,3,0,Sheboygan Redskins,Yes
Youngstown Bears,YNB,NBL,1946,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Allmen Transfers,CAT,NBL,1946,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1946,Western,1,NA,NA,NA,NA,3,2,Oshkosh All-Stars,Yes,0,3,Rochester Royals,No
Oshkosh All-Stars,OAS,NBL,1946,Western,2,NA,NA,NA,NA,2,3,Sheboygan Redskins,No,NA,NA,NA,NA
Chicago American Gears,CAG,NBL,1946,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1946,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Royals,RCR,NBL,1947,Eastern,1,3,1,Syracuse Nationals,Yes,2,1,Fort Wayne Zollner Pistons,Yes,1,3,Chicago American Gears,No
Fort Wayne Zollner Pistons,FWZ,NBL,1947,Eastern,2,3,2,Toledo Jeeps,Yes,1,2,Rochester Royals,No,NA,NA,NA,NA
Toledo Jeeps,TLJ,NBL,1947,Eastern,3,2,3,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYN,NBL,1947,Eastern,4,1,3,Rochester Royals,No,NA,NA,NA,NA,NA,NA,NA,NA
Tri-Cities Blackhawks,TCB,NBL,1947,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Youngstown Bears,YNB,NBL,1947,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1947,Western,1,3,2,Sheboygan Redskins,Yes,0,2,Chicago American Gears,No,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1947,Western,2,2,3,Chicago American Gears,No,NA,NA,NA,NA,NA,NA,NA,NA
Chicago American Gears,CAG,NBL,1947,Western,3,3,2,Indianapolis Kautskys,Yes,2,0,Oshkosh All-Stars,Yes,3,1,Rochester Royals,Yes
Sheboygan Redskins,SHR,NBL,1947,Western,4,2,3,Oshkosh All-Stars,No,NA,NA,NA,NA,NA,NA,NA,NA
Anderson Duffey Packers,ADP,NBL,1947,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Gems,DTG,NBL,1947,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Royals,RCR,NBL,1948,Eastern,1,3,1,Fort Wayne Zollner Pistons,Yes,2,1,Anderson Duffey Packers,Yes,1,3,Minneapolis Lakers,No
Anderson Duffey Packers,ADP,NBL,1948,Eastern,2,3,0,Syracuse Nationals,Yes,1,2,Rochester Royals,No,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1948,Eastern,3,1,3,Rochester Royals,No,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYN,NBL,1948,Eastern,4,0,3,Anderson Duffey Packers,No,NA,NA,NA,NA,NA,NA,NA,NA
Toledo Jeeps,TLJ,NBL,1948,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flint Dow A.C.'s,FDA,NBL,1948,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNN,NBL,1948,Western,1,3,1,Oshkosh All-Stars,Yes,2,0,Tri-Cities Blackhawks,Yes,3,1,Rochester Royals,Yes
Tri-Cities Blackhawks,TCB,NBL,1948,Western,2,3,1,Indianapolis Kautskys,Yes,0,2,Minneapolis Lakers,No,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1948,Western,3,1,3,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1948,Western,4,1,3,Tri-Cities Blackhawks,No,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1948,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson Duffey Packers,ADP,NBL,1949,Eastern,1,NA,NA,NA,NA,3,1,Syracuse Nationals,Yes,3,0,Oshkosh All-Stars,Yes
Syracuse Nationals,SYN,NBL,1949,Eastern,2,2,0,Hammond Calumet Buccaneers,Yes,1,3,Anderson Duffey Packers,No,NA,NA,NA,NA
Hammond Calumet Buccaneers,HCB,NBL,1949,Eastern,3,0,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA
Dayton Rens,DYR,NBL,1949,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Vagabond Kings,DVK,NBL,1949,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1949,Western,1,NA,NA,NA,NA,3,1,Tri-Cities Blackhawks,Yes,0,3,Anderson Duffey Packers,No
Tri-Cities Blackhawks,TCB,NBL,1949,Western,2,2,0,Sheboygan Redskins,Yes,1,3,Oshkosh All-Stars,No,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1949,Western,3,0,2,Tri-Cities Blackhawks,No,NA,NA,NA,NA,NA,NA,NA,NA
Waterloo Hawks,WTH,NBL,1949,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DNV,NBL,1949,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
