Team Name,Team Abbr.,League,Season,Conference,Conference Rank,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Houston Comets,HOU,WNBA,1997,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Charlotte Sting,Yes,1,0,New York Liberty,Yes
New York Liberty,NYL,WNBA,1997,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Phoenix Mercury,Yes,0,1,Houston Comets,No
Charlotte Sting,CHA,WNBA,1997,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Houston Comets,No,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1997,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,1997,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,New York Liberty,No,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,1997,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,1997,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,1997,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1998,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Phoenix Mercury,No,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,1998,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Houston Comets,No,NA,NA,NA,NA
New York Liberty,NYL,WNBA,1998,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,1998,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,1998,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,1998,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Charlotte Sting,Yes,2,1,Phoenix Mercury,Yes
Phoenix Mercury,PHO,WNBA,1998,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Cleveland Rockers,Yes,1,2,Houston Comets,No
Los Angeles Sparks,LAS,WNBA,1998,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,1998,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,1998,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,1999,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Charlotte Sting,Yes,1,2,Houston Comets,No
Charlotte Sting,CHA,WNBA,1999,Eastern,2,1,0,Detroit Shock,Yes,NA,NA,NA,NA,1,2,New York Liberty,No,NA,NA,NA,NA
Detroit Shock,DET,WNBA,1999,Eastern,3,0,1,Charlotte Sting,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Miracle,ORL,WNBA,1999,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,1999,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1999,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,1999,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Los Angeles Sparks,Yes,2,1,New York Liberty,Yes
Los Angeles Sparks,LAS,WNBA,1999,Western,2,1,0,Sacramento Monarchs,Yes,NA,NA,NA,NA,0,2,Houston Comets,No,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,1999,Western,3,0,1,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,1999,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,1999,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,1999,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2000,Eastern,1,2,0,Washington Mystics,Yes,NA,NA,NA,NA,2,1,Cleveland Rockers,Yes,0,2,Houston Comets,No
Cleveland Rockers,CLE,WNBA,2000,Eastern,2,2,1,Orlando Miracle,Yes,NA,NA,NA,NA,1,2,New York Liberty,No,NA,NA,NA,NA
Orlando Miracle,ORL,WNBA,2000,Eastern,3,1,2,Cleveland Rockers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2000,Eastern,4,0,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2000,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Sol,MIA,WNBA,2000,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2000,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2000,Eastern,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2000,Western,1,2,0,Phoenix Mercury,Yes,NA,NA,NA,NA,0,2,Houston Comets,No,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2000,Western,2,2,0,Sacramento Monarchs,Yes,NA,NA,NA,NA,2,0,Los Angeles Sparks,Yes,2,0,New York Liberty,Yes
Sacramento Monarchs,SAC,WNBA,2000,Western,3,0,2,Houston Comets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2000,Western,4,0,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,2000,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2000,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Fire,POR,WNBA,2000,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2000,Western,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,2001,Eastern,1,1,2,Charlotte Sting,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2001,Eastern,2,2,1,Miami Sol,Yes,NA,NA,NA,NA,1,2,Charlotte Sting,No,NA,NA,NA,NA
Miami Sol,MIA,WNBA,2001,Eastern,3,1,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2001,Eastern,4,2,1,Cleveland Rockers,Yes,NA,NA,NA,NA,2,1,New York Liberty,Yes,0,2,Los Angeles Sparks,No
Orlando Miracle,ORL,WNBA,2001,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2001,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2001,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2001,Eastern,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2001,Western,1,2,0,Houston Comets,Yes,NA,NA,NA,NA,2,1,Sacramento Monarchs,Yes,2,0,Charlotte Sting,Yes
Sacramento Monarchs,SAC,WNBA,2001,Western,2,2,0,Utah Starzz,Yes,NA,NA,NA,NA,1,2,Los Angeles Sparks,No,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2001,Western,3,0,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,2001,Western,4,0,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2001,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2001,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Fire,POR,WNBA,2001,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2001,Western,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2002,Eastern,1,0,2,Washington Mystics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2002,Eastern,2,2,1,Indiana Fever,Yes,NA,NA,NA,NA,2,1,Washington Mystics,Yes,0,2,Los Angeles Sparks,No
Washington Mystics,WAS,WNBA,2002,Eastern,3,2,0,Charlotte Sting,Yes,NA,NA,NA,NA,1,2,New York Liberty,No,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2002,Eastern,4,1,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Miracle,ORL,WNBA,2002,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Sol,MIA,WNBA,2002,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,2002,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2002,Eastern,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2002,Western,1,2,0,Seattle Storm,Yes,NA,NA,NA,NA,2,0,Utah Starzz,Yes,2,0,New York Liberty,Yes
Houston Comets,HOU,WNBA,2002,Western,2,1,2,Utah Starzz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,2002,Western,3,2,1,Houston Comets,Yes,NA,NA,NA,NA,0,2,Los Angeles Sparks,No,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2002,Western,4,0,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Fire,POR,WNBA,2002,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2002,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2002,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2002,Western,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2003,Eastern,1,2,1,Cleveland Rockers,Yes,NA,NA,NA,NA,2,0,Connecticut Sun,Yes,2,1,Los Angeles Sparks,Yes
Charlotte Sting,CHA,WNBA,2003,Eastern,2,0,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2003,Eastern,3,2,0,Charlotte Sting,Yes,NA,NA,NA,NA,0,2,Detroit Shock,No,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,2003,Eastern,4,1,2,Detroit Shock,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2003,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2003,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2003,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2003,Western,1,2,1,Minnesota Lynx,Yes,NA,NA,NA,NA,2,1,Sacramento Monarchs,Yes,1,2,Detroit Shock,No
Houston Comets,HOU,WNBA,2003,Western,2,1,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2003,Western,3,2,1,Houston Comets,Yes,NA,NA,NA,NA,1,2,Los Angeles Sparks,No,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2003,Western,4,1,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2003,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2003,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2003,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2004,Eastern,1,2,1,Washington Mystics,Yes,NA,NA,NA,NA,2,0,New York Liberty,Yes,1,2,Seattle Storm,No
New York Liberty,NYL,WNBA,2004,Eastern,2,2,1,Detroit Shock,Yes,NA,NA,NA,NA,0,2,Connecticut Sun,No,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2004,Eastern,3,1,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2004,Eastern,4,1,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2004,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2004,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2004,Western,1,1,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2004,Western,2,2,0,Minnesota Lynx,Yes,NA,NA,NA,NA,2,1,Sacramento Monarchs,Yes,2,1,Connecticut Sun,Yes
Minnesota Lynx,MIN,WNBA,2004,Western,3,0,2,Seattle Storm,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2004,Western,4,2,1,Los Angeles Sparks,Yes,NA,NA,NA,NA,1,2,Seattle Storm,No,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2004,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2004,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2004,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2005,Eastern,1,2,0,Detroit Shock,Yes,NA,NA,NA,NA,2,0,Indiana Fever,Yes,1,3,Sacramento Monarchs,No
Indiana Fever,IND,WNBA,2005,Eastern,2,2,0,New York Liberty,Yes,NA,NA,NA,NA,0,2,Connecticut Sun,No,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2005,Eastern,3,0,2,Indiana Fever,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2005,Eastern,4,0,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2005,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2005,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2005,Western,1,2,0,Los Angeles Sparks,Yes,NA,NA,NA,NA,2,0,Houston Comets,Yes,3,1,Connecticut Sun,Yes
