Team Name,Team Abbr.,G,W,L,W/L%,GB,PW,PL,League,Season,Conference,Conference Rank,Made Playoffs
Houston Comets,HOU,28,18,10,0.643,0,22,6,WNBA,1997,Eastern,1,Yes
New York Liberty,NYL,28,17,11,0.607,1,17,11,WNBA,1997,Eastern,2,Yes
Charlotte Sting,CHA,28,15,13,0.536,3,16,12,WNBA,1997,Eastern,3,Yes
Cleveland Rockers,CLE,28,15,13,0.536,3,16,12,WNBA,1997,Eastern,4,No
Phoenix Mercury,PHO,28,16,12,0.571,0,20,8,WNBA,1997,Western,1,Yes
Los Angeles Sparks,LAS,28,14,14,0.5,2,17,11,WNBA,1997,Western,2,No
Sacramento Monarchs,SAC,28,10,18,0.357,6,5,23,WNBA,1997,Western,3,No
Utah Starzz,UTA,28,7,21,0.25,9,3,25,WNBA,1997,Western,4,No
Cleveland Rockers,CLE,30,20,10,0.667,0,19,11,WNBA,1998,Eastern,1,Yes
Charlotte Sting,CHA,30,18,12,0.6,2,19,11,WNBA,1998,Eastern,2,Yes
New York Liberty,NYL,30,18,12,0.6,2,20,10,WNBA,1998,Eastern,3,No
Detroit Shock,DET,30,17,13,0.567,3,15,15,WNBA,1998,Eastern,4,No
Washington Mystics,WAS,30,3,27,0.1,17,1,29,WNBA,1998,Eastern,5,No
Houston Comets,HOU,30,27,3,0.9,0,28,2,WNBA,1998,Western,1,Yes
Phoenix Mercury,PHO,30,19,11,0.633,8,23,7,WNBA,1998,Western,2,Yes
Los Angeles Sparks,LAS,30,12,18,0.4,15,14,16,WNBA,1998,Western,3,No
Sacramento Monarchs,SAC,30,8,22,0.267,19,7,23,WNBA,1998,Western,4,No
Utah Starzz,UTA,30,8,22,0.267,19,7,23,WNBA,1998,Western,5,No
New York Liberty,NYL,32,18,14,0.563,0,20,12,WNBA,1999,Eastern,1,Yes
Charlotte Sting,CHA,32,15,17,0.469,3,14,18,WNBA,1999,Eastern,2,Yes
Detroit Shock,DET,32,15,17,0.469,3,13,19,WNBA,1999,Eastern,3,Yes
Orlando Miracle,ORL,32,15,17,0.469,3,15,17,WNBA,1999,Eastern,4,No
Washington Mystics,WAS,32,12,20,0.375,6,9,23,WNBA,1999,Eastern,5,No
Cleveland Rockers,CLE,32,7,25,0.219,11,7,25,WNBA,1999,Eastern,6,No
Houston Comets,HOU,32,26,6,0.813,0,28,4,WNBA,1999,Western,1,Yes
Los Angeles Sparks,LAS,32,20,12,0.625,6,22,10,WNBA,1999,Western,2,Yes
Sacramento Monarchs,SAC,32,19,13,0.594,7,22,10,WNBA,1999,Western,3,Yes
Minnesota Lynx,MIN,32,15,17,0.469,11,12,20,WNBA,1999,Western,4,No
Phoenix Mercury,PHO,32,15,17,0.469,11,16,16,WNBA,1999,Western,5,No
Utah Starzz,UTA,32,15,17,0.469,11,11,21,WNBA,1999,Western,6,No
New York Liberty,NYL,32,20,12,0.625,0,22,10,WNBA,2000,Eastern,1,Yes
Cleveland Rockers,CLE,32,17,15,0.531,3,19,13,WNBA,2000,Eastern,2,Yes
Orlando Miracle,ORL,32,16,16,0.5,4,15,17,WNBA,2000,Eastern,3,Yes
Washington Mystics,WAS,32,14,18,0.438,6,14,18,WNBA,2000,Eastern,4,Yes
Detroit Shock,DET,32,14,18,0.438,6,12,20,WNBA,2000,Eastern,5,No
Miami Sol,MIA,32,13,19,0.406,7,7,25,WNBA,2000,Eastern,6,No
Indiana Fever,IND,32,9,23,0.281,11,12,20,WNBA,2000,Eastern,7,No
Charlotte Sting,CHA,32,8,24,0.25,12,6,26,WNBA,2000,Eastern,8,No
Los Angeles Sparks,LAS,32,28,4,0.875,0,26,6,WNBA,2000,Western,1,Yes
Houston Comets,HOU,32,27,5,0.844,1,30,2,WNBA,2000,Western,2,Yes
Sacramento Monarchs,SAC,32,21,11,0.656,7,24,8,WNBA,2000,Western,3,Yes
Phoenix Mercury,PHO,32,20,12,0.625,8,23,9,WNBA,2000,Western,4,Yes
Utah Starzz,UTA,32,18,14,0.563,10,16,16,WNBA,2000,Western,5,No
Minnesota Lynx,MIN,32,15,17,0.469,13,16,16,WNBA,2000,Western,6,No
Portland Fire,POR,32,10,22,0.313,18,9,23,WNBA,2000,Western,7,No
Seattle Storm,SEA,32,6,26,0.188,22,3,29,WNBA,2000,Western,8,No
Cleveland Rockers,CLE,32,22,10,0.688,0,27,5,WNBA,2001,Eastern,1,Yes
New York Liberty,NYL,32,21,11,0.656,1,20,12,WNBA,2001,Eastern,2,Yes
Miami Sol,MIA,32,20,12,0.625,2,19,13,WNBA,2001,Eastern,3,Yes
Charlotte Sting,CHA,32,18,14,0.563,4,19,13,WNBA,2001,Eastern,4,Yes
Orlando Miracle,ORL,32,13,19,0.406,9,13,19,WNBA,2001,Eastern,5,No
Detroit Shock,DET,32,10,22,0.313,12,8,24,WNBA,2001,Eastern,6,No
Indiana Fever,IND,32,10,22,0.313,12,11,21,WNBA,2001,Eastern,7,No
Washington Mystics,WAS,32,10,22,0.313,12,8,24,WNBA,2001,Eastern,8,No
Los Angeles Sparks,LAS,32,28,4,0.875,0,27,5,WNBA,2001,Western,1,Yes
Sacramento Monarchs,SAC,32,20,12,0.625,8,23,9,WNBA,2001,Western,2,Yes
Houston Comets,HOU,32,19,13,0.594,9,19,13,WNBA,2001,Western,3,Yes
Utah Starzz,UTA,32,19,13,0.594,9,17,15,WNBA,2001,Western,4,Yes
Phoenix Mercury,PHO,32,13,19,0.406,15,11,21,WNBA,2001,Western,5,No
Minnesota Lynx,MIN,32,12,20,0.375,16,12,20,WNBA,2001,Western,6,No
Portland Fire,POR,32,11,21,0.344,17,10,22,WNBA,2001,Western,7,No
Seattle Storm,SEA,32,10,22,0.313,18,9,23,WNBA,2001,Western,8,No
Charlotte Sting,CHA,32,18,14,0.563,0,21,11,WNBA,2002,Eastern,1,Yes
New York Liberty,NYL,32,18,14,0.563,0,20,12,WNBA,2002,Eastern,2,Yes
Washington Mystics,WAS,32,17,15,0.531,1,17,15,WNBA,2002,Eastern,3,Yes
Indiana Fever,IND,32,16,16,0.5,2,14,18,WNBA,2002,Eastern,4,Yes
Orlando Miracle,ORL,32,16,16,0.5,2,16,16,WNBA,2002,Eastern,5,No
Miami Sol,MIA,32,15,17,0.469,3,14,18,WNBA,2002,Eastern,6,No
Cleveland Rockers,CLE,32,10,22,0.313,8,12,20,WNBA,2002,Eastern,7,No
Detroit Shock,DET,32,9,23,0.281,9,9,23,WNBA,2002,Eastern,8,No
Los Angeles Sparks,LAS,32,25,7,0.781,0,25,7,WNBA,2002,Western,1,Yes
Houston Comets,HOU,32,24,8,0.75,1,25,7,WNBA,2002,Western,2,Yes
Utah Starzz,UTA,32,20,12,0.625,5,19,13,WNBA,2002,Western,3,Yes
Seattle Storm,SEA,32,17,15,0.531,8,20,12,WNBA,2002,Western,4,Yes
Portland Fire,POR,32,16,16,0.5,9,14,18,WNBA,2002,Western,5,No
Sacramento Monarchs,SAC,32,14,18,0.438,11,10,22,WNBA,2002,Western,6,No
Phoenix Mercury,PHO,32,11,21,0.344,14,7,25,WNBA,2002,Western,7,No
Minnesota Lynx,MIN,32,10,22,0.313,15,11,21,WNBA,2002,Western,8,No
Detroit Shock,DET,34,25,9,0.735,0,24,10,WNBA,2003,Eastern,1,Yes
Charlotte Sting,CHA,34,18,16,0.529,7,18,16,WNBA,2003,Eastern,2,Yes
Connecticut Sun,CON,34,18,16,0.529,7,16,18,WNBA,2003,Eastern,3,Yes
Cleveland Rockers,CLE,34,17,17,0.5,8,18,16,WNBA,2003,Eastern,4,Yes
Indiana Fever,IND,34,16,18,0.471,9,18,16,WNBA,2003,Eastern,5,No
New York Liberty,NYL,34,16,18,0.471,9,16,18,WNBA,2003,Eastern,6,No
Washington Mystics,WAS,34,9,25,0.265,16,9,25,WNBA,2003,Eastern,7,No
Los Angeles Sparks,LAS,34,24,10,0.706,0,20,14,WNBA,2003,Western,1,Yes
Houston Comets,HOU,34,20,14,0.588,4,22,12,WNBA,2003,Western,2,Yes
Sacramento Monarchs,SAC,34,19,15,0.559,5,21,13,WNBA,2003,Western,3,Yes
Minnesota Lynx,MIN,34,18,16,0.529,6,18,16,WNBA,2003,Western,4,Yes
Seattle Storm,SEA,34,18,16,0.529,6,23,11,WNBA,2003,Western,5,No
San Antonio Silver Stars,SAS,34,12,22,0.353,12,7,27,WNBA,2003,Western,6,No
Phoenix Mercury,PHO,34,8,26,0.235,16,8,26,WNBA,2003,Western,7,No
Connecticut Sun,CON,34,18,16,0.529,0,19,15,WNBA,2004,Eastern,1,Yes
New York Liberty,NYL,34,18,16,0.529,0,15,19,WNBA,2004,Eastern,2,Yes
Detroit Shock,DET,34,17,17,0.5,1,16,18,WNBA,2004,Eastern,3,Yes
Washington Mystics,WAS,34,17,17,0.5,1,14,20,WNBA,2004,Eastern,4,Yes
Charlotte Sting,CHA,34,16,18,0.471,2,13,21,WNBA,2004,Eastern,5,No
Indiana Fever,IND,34,15,19,0.441,3,15,19,WNBA,2004,Eastern,6,No
Los Angeles Sparks,LAS,34,25,9,0.735,0,23,11,WNBA,2004,Western,1,Yes
Seattle Storm,SEA,34,20,14,0.588,5,25,9,WNBA,2004,Western,2,Yes
Minnesota Lynx,MIN,34,18,16,0.529,7,16,18,WNBA,2004,Western,3,Yes
Sacramento Monarchs,SAC,34,18,16,0.529,7,21,13,WNBA,2004,Western,4,Yes
Phoenix Mercury,PHO,34,17,17,0.5,8,20,14,WNBA,2004,Western,5,No
Houston Comets,HOU,34,13,21,0.382,12,15,19,WNBA,2004,Western,6,No
San Antonio Silver Stars,SAS,34,9,25,0.265,16,9,25,WNBA,2004,Western,7,No
Connecticut Sun,CON,34,26,8,0.765,0,27,7,WNBA,2005,Eastern,1,Yes
Indiana Fever,IND,34,21,13,0.618,5,19,15,WNBA,2005,Eastern,2,Yes
New York Liberty,NYL,34,18,16,0.529,8,19,15,WNBA,2005,Eastern,3,Yes
Detroit Shock,DET,34,16,18,0.471,10,15,19,WNBA,2005,Eastern,4,Yes
Washington Mystics,WAS,34,16,18,0.471,10,15,19,WNBA,2005,Eastern,5,No
Charlotte Sting,CHA,34,6,28,0.176,20,6,28,WNBA,2005,Eastern,6,No
Sacramento Monarchs,SAC,34,25,9,0.735,0,28,6,WNBA,2005,Western,1,Yes
Seattle Storm,SEA,34,20,14,0.588,5,21,13,WNBA,2005,Western,2,Yes
Houston Comets,HOU,34,19,15,0.559,6,19,15,WNBA,2005,Western,3,Yes
Los Angeles Sparks,LAS,34,17,17,0.5,8,16,18,WNBA,2005,Western,4,Yes
Phoenix Mercury,PHO,34,16,18,0.471,9,17,17,WNBA,2005,Western,5,No
Minnesota Lynx,MIN,34,14,20,0.412,11,13,21,WNBA,2005,Western,6,No
San Antonio Silver Stars,SAS,34,7,27,0.206,18,6,28,WNBA,2005,Western,7,No
Connecticut Sun,CON,34,26,8,0.765,0,28,6,WNBA,2006,Eastern,1,Yes
Detroit Shock,DET,34,23,11,0.676,3,24,10,WNBA,2006,Eastern,2,Yes
Indiana Fever,IND,34,21,13,0.618,5,23,11,WNBA,2006,Eastern,3,Yes
Washington Mystics,WAS,34,18,16,0.529,8,21,13,WNBA,2006,Eastern,4,Yes
Charlotte Sting,CHA,34,11,23,0.324,15,12,22,WNBA,2006,Eastern,5,No
New York Liberty,NYL,34,11,23,0.324,15,6,28,WNBA,2006,Eastern,6,No
Chicago Sky,CHI,34,5,29,0.147,21,4,30,WNBA,2006,Eastern,7,No
Los Angeles Sparks,LAS,34,25,9,0.735,0,22,12,WNBA,2006,Western,1,Yes
Sacramento Monarchs,SAC,34,21,13,0.618,4,23,11,WNBA,2006,Western,2,Yes
Houston Comets,HOU,34,18,16,0.529,7,20,14,WNBA,2006,Western,3,Yes
Seattle Storm,SEA,34,18,16,0.529,7,20,14,WNBA,2006,Western,4,Yes
Phoenix Mercury,PHO,34,18,16,0.529,7,20,14,WNBA,2006,Western,5,No
San Antonio Silver Stars,SAS,34,13,21,0.382,12,13,21,WNBA,2006,Western,6,No
Minnesota Lynx,MIN,34,10,24,0.294,15,8,26,WNBA,2006,Western,7,No
Detroit Shock,DET,34,24,10,0.706,0,24,10,WNBA,2007,Eastern,1,Yes
Indiana Fever,IND,34,21,13,0.618,3,22,12,WNBA,2007,Eastern,2,Yes
Connecticut Sun,CON,34,18,16,0.529,6,21,13,WNBA,2007,Eastern,3,Yes
New York Liberty,NYL,34,16,18,0.471,8,13,21,WNBA,2007,Eastern,4,Yes
Washington Mystics,WAS,34,16,18,0.471,8,15,19,WNBA,2007,Eastern,5,No
Chicago Sky,CHI,34,14,20,0.412,10,13,21,WNBA,2007,Eastern,6,No
Phoenix Mercury,PHO,34,23,11,0.676,0,22,12,WNBA,2007,Western,1,Yes
San Antonio Silver Stars,SAS,34,20,14,0.588,3,19,15,WNBA,2007,Western,2,Yes
Sacramento Monarchs,SAC,34,19,15,0.559,4,19,15,WNBA,2007,Western,3,Yes
Seattle Storm,SEA,34,17,17,0.5,6,21,13,WNBA,2007,Western,4,Yes
Houston Comets,HOU,34,13,21,0.382,10,12,22,WNBA,2007,Western,5,No
Los Angeles Sparks,LAS,34,10,24,0.294,13,10,24,WNBA,2007,Western,6,No
Minnesota Lynx,MIN,34,10,24,0.294,13,12,22,WNBA,2007,Western,7,No
Detroit Shock,DET,34,22,12,0.647,0,24,10,WNBA,2008,Eastern,1,Yes
Connecticut Sun,CON,34,21,13,0.618,1,23,11,WNBA,2008,Eastern,2,Yes
New York Liberty,NYL,34,19,15,0.559,3,19,15,WNBA,2008,Eastern,3,Yes
Indiana Fever,IND,34,17,17,0.5,5,18,16,WNBA,2008,Eastern,4,Yes
Chicago Sky,CHI,34,12,22,0.353,10,15,19,WNBA,2008,Eastern,5,NA
Washington Mystics,WAS,34,10,24,0.294,12,7,27,WNBA,2008,Eastern,6,NA
Atlanta Dream,ATL,34,4,30,0.118,18,5,29,WNBA,2008,Eastern,7,NA
San Antonio Silver Stars,SAS,34,24,10,0.706,0,23,11,WNBA,2008,Western,1,Yes
Seattle Storm,SEA,34,22,12,0.647,2,21,13,WNBA,2008,Western,2,Yes
Los Angeles Sparks,LAS,34,20,14,0.588,4,20,14,WNBA,2008,Western,3,Yes
Sacramento Monarchs,SAC,34,18,16,0.529,6,16,18,WNBA,2008,Western,4,Yes
Houston Comets,HOU,34,17,17,0.5,7,15,19,WNBA,2008,Western,5,NA
Minnesota Lynx,MIN,34,16,18,0.471,8,19,15,WNBA,2008,Western,6,NA
Phoenix Mercury,PHO,34,16,18,0.471,8,17,17,WNBA,2008,Western,7,NA
Indiana Fever,IND,34,22,12,0.647,0,22,12,WNBA,2009,Eastern,1,Yes
Atlanta Dream,ATL,34,18,16,0.529,4,20,14,WNBA,2009,Eastern,2,Yes
Detroit Shock,DET,34,18,16,0.529,4,17,17,WNBA,2009,Eastern,3,Yes
Washington Mystics,WAS,34,16,18,0.471,6,15,19,WNBA,2009,Eastern,4,Yes
Chicago Sky,CHI,34,16,18,0.471,6,12,22,WNBA,2009,Eastern,5,No
Connecticut Sun,CON,34,16,18,0.471,6,17,17,WNBA,2009,Eastern,6,No
New York Liberty,NYL,34,13,21,0.382,9,16,18,WNBA,2009,Eastern,7,No
Phoenix Mercury,PHO,34,23,11,0.676,0,22,12,WNBA,2009,Western,1,Yes
Seattle Storm,SEA,34,20,14,0.588,3,20,14,WNBA,2009,Western,2,Yes
Los Angeles Sparks,LAS,34,18,16,0.529,5,18,16,WNBA,2009,Western,3,Yes
San Antonio Silver Stars,SAS,34,15,19,0.441,8,15,19,WNBA,2009,Western,4,Yes
Minnesota Lynx,MIN,34,14,20,0.412,9,13,21,WNBA,2009,Western,5,No
Sacramento Monarchs,SAC,34,12,22,0.353,11,13,21,WNBA,2009,Western,6,No
New York Liberty,NYL,34,22,12,0.647,0,22,12,WNBA,2010,Eastern,1,Yes
Washington Mystics,WAS,34,22,12,0.647,0,23,11,WNBA,2010,Eastern,2,Yes
