Team Name,Team Abbr.,G,W,L,W/L%,GB,PW,PL,League,Season,Conference,Conference Rank,Made Playoffs
Indiana Fever,IND,34,21,13,0.618,1,23,11,WNBA,2010,Eastern,3,Yes
Atlanta Dream,ATL,34,19,15,0.559,3,20,14,WNBA,2010,Eastern,4,Yes
Connecticut Sun,CON,34,17,17,0.5,5,19,15,WNBA,2010,Eastern,5,No
Chicago Sky,CHI,34,14,20,0.412,8,16,18,WNBA,2010,Eastern,6,No
Seattle Storm,SEA,34,28,6,0.824,0,27,7,WNBA,2010,Western,1,Yes
Phoenix Mercury,PHO,34,15,19,0.441,13,17,17,WNBA,2010,Western,2,Yes
San Antonio Silver Stars,SAS,34,14,20,0.412,14,12,22,WNBA,2010,Western,3,Yes
Los Angeles Sparks,LAS,34,13,21,0.382,15,12,22,WNBA,2010,Western,4,Yes
Minnesota Lynx,MIN,34,13,21,0.382,15,12,22,WNBA,2010,Western,5,No
Tulsa Shock,TUL,34,6,28,0.176,22,4,30,WNBA,2010,Western,6,No
Connecticut Sun,CON,34,21,13,0.618,0,22,12,WNBA,2011,Eastern,1,Yes
Indiana Fever,IND,34,21,13,0.618,0,23,11,WNBA,2011,Eastern,2,Yes
Atlanta Dream,ATL,34,20,14,0.588,1,19,15,WNBA,2011,Eastern,3,Yes
New York Liberty,NYL,34,19,15,0.559,2,19,15,WNBA,2011,Eastern,4,Yes
Chicago Sky,CHI,34,14,20,0.412,7,16,18,WNBA,2011,Eastern,5,No
Washington Mystics,WAS,34,6,28,0.176,15,6,28,WNBA,2011,Eastern,6,No
Minnesota Lynx,MIN,34,27,7,0.794,0,27,7,WNBA,2011,Western,1,Yes
Seattle Storm,SEA,34,21,13,0.618,6,20,14,WNBA,2011,Western,2,Yes
Phoenix Mercury,PHO,34,19,15,0.559,8,21,13,WNBA,2011,Western,3,Yes
San Antonio Silver Stars,SAS,34,18,16,0.529,9,20,14,WNBA,2011,Western,4,Yes
Los Angeles Sparks,LAS,34,15,19,0.441,12,12,22,WNBA,2011,Western,5,No
Tulsa Shock,TUL,34,3,31,0.088,24,3,31,WNBA,2011,Western,6,No
Connecticut Sun,CON,34,25,9,0.735,0,23,11,WNBA,2012,Eastern,1,Yes
Indiana Fever,IND,34,22,12,0.647,3,26,8,WNBA,2012,Eastern,2,Yes
Atlanta Dream,ATL,34,19,15,0.559,6,21,13,WNBA,2012,Eastern,3,Yes
New York Liberty,NYL,34,15,19,0.441,10,11,23,WNBA,2012,Eastern,4,Yes
Chicago Sky,CHI,34,14,20,0.412,11,17,17,WNBA,2012,Eastern,5,No
Washington Mystics,WAS,34,5,29,0.147,20,5,29,WNBA,2012,Eastern,6,No
Minnesota Lynx,MIN,34,27,7,0.794,0,29,5,WNBA,2012,Western,1,Yes
Los Angeles Sparks,LAS,34,24,10,0.706,3,25,9,WNBA,2012,Western,2,Yes
San Antonio Silver Stars,SAS,34,21,13,0.618,6,24,10,WNBA,2012,Western,3,Yes
Seattle Storm,SEA,34,16,18,0.471,11,16,18,WNBA,2012,Western,4,Yes
Tulsa Shock,TUL,34,9,25,0.265,18,8,26,WNBA,2012,Western,5,No
Phoenix Mercury,PHO,34,7,27,0.206,20,4,30,WNBA,2012,Western,6,No
Chicago Sky,CHI,34,24,10,0.706,0,25,9,WNBA,2013,Eastern,1,Yes
Atlanta Dream,ATL,34,17,17,0.5,7,19,15,WNBA,2013,Eastern,2,Yes
Washington Mystics,WAS,34,17,17,0.5,7,17,17,WNBA,2013,Eastern,3,Yes
Indiana Fever,IND,34,16,18,0.471,8,18,16,WNBA,2013,Eastern,4,Yes
New York Liberty,NYL,34,11,23,0.324,13,7,27,WNBA,2013,Eastern,5,No
Connecticut Sun,CON,34,10,24,0.294,14,8,26,WNBA,2013,Eastern,6,No
Minnesota Lynx,MIN,34,26,8,0.765,0,29,5,WNBA,2013,Western,1,Yes
Los Angeles Sparks,LAS,34,24,10,0.706,2,26,8,WNBA,2013,Western,2,Yes
Phoenix Mercury,PHO,34,19,15,0.559,7,16,18,WNBA,2013,Western,3,Yes
Seattle Storm,SEA,34,17,17,0.5,9,13,21,WNBA,2013,Western,4,Yes
San Antonio Silver Stars,SAS,34,12,22,0.353,14,9,25,WNBA,2013,Western,5,No
Tulsa Shock,TUL,34,11,23,0.324,15,14,20,WNBA,2013,Western,6,No
Atlanta Dream,ATL,34,19,15,0.559,0,20,14,WNBA,2014,Eastern,1,Yes
Indiana Fever,IND,34,16,18,0.471,3,15,19,WNBA,2014,Eastern,2,Yes
Washington Mystics,WAS,34,16,18,0.471,3,18,16,WNBA,2014,Eastern,3,Yes
Chicago Sky,CHI,34,15,19,0.441,4,14,20,WNBA,2014,Eastern,4,Yes
New York Liberty,NYL,34,15,19,0.441,4,12,22,WNBA,2014,Eastern,5,No
Connecticut Sun,CON,34,13,21,0.382,6,14,20,WNBA,2014,Eastern,6,No
Phoenix Mercury,PHO,34,29,5,0.853,0,29,5,WNBA,2014,Western,1,Yes
Minnesota Lynx,MIN,34,25,9,0.735,4,23,11,WNBA,2014,Western,2,Yes
Los Angeles Sparks,LAS,34,16,18,0.471,13,17,17,WNBA,2014,Western,3,Yes
San Antonio Stars,SAS,34,16,18,0.471,13,14,20,WNBA,2014,Western,4,Yes
Seattle Storm,SEA,34,12,22,0.353,17,10,24,WNBA,2014,Western,5,No
Tulsa Shock,TUL,34,12,22,0.353,17,14,20,WNBA,2014,Western,6,No
New York Liberty,NYL,34,23,11,0.676,0,22,12,WNBA,2015,Eastern,1,Yes
Chicago Sky,CHI,34,21,13,0.618,2,23,11,WNBA,2015,Eastern,2,Yes
Indiana Fever,IND,34,20,14,0.588,3,20,14,WNBA,2015,Eastern,3,Yes
Washington Mystics,WAS,34,18,16,0.529,5,21,13,WNBA,2015,Eastern,4,Yes
Atlanta Dream,ATL,34,15,19,0.441,8,14,20,WNBA,2015,Eastern,5,No
Connecticut Sun,CON,34,15,19,0.441,8,14,20,WNBA,2015,Eastern,6,No
Minnesota Lynx,MIN,34,22,12,0.647,0,23,11,WNBA,2015,Western,1,Yes
Phoenix Mercury,PHO,34,20,14,0.588,2,21,13,WNBA,2015,Western,2,Yes
Tulsa Shock,TUL,34,18,16,0.529,4,18,16,WNBA,2015,Western,3,Yes
Los Angeles Sparks,LAS,34,14,20,0.412,8,15,19,WNBA,2015,Western,4,Yes
Seattle Storm,SEA,34,10,24,0.294,12,9,25,WNBA,2015,Western,5,No
San Antonio Stars,SAS,34,8,26,0.235,14,5,29,WNBA,2015,Western,6,No
New York Liberty,NYL,34,21,13,0.618,0,18,16,WNBA,2016,Eastern,1,Yes
Chicago Sky,CHI,34,18,16,0.529,3,18,16,WNBA,2016,Eastern,2,Yes
Atlanta Dream,ATL,34,17,17,0.5,4,14,20,WNBA,2016,Eastern,3,Yes
Indiana Fever,IND,34,17,17,0.5,4,16,18,WNBA,2016,Eastern,4,Yes
Connecticut Sun,CON,34,14,20,0.412,7,15,19,WNBA,2016,Eastern,5,No
Washington Mystics,WAS,34,13,21,0.382,8,15,19,WNBA,2016,Eastern,6,No
Minnesota Lynx,MIN,34,28,6,0.824,0,28,6,WNBA,2016,Western,1,Yes
Los Angeles Sparks,LAS,34,26,8,0.765,2,26,8,WNBA,2016,Western,2,Yes
Phoenix Mercury,PHO,34,16,18,0.471,12,19,15,WNBA,2016,Western,3,Yes
Seattle Storm,SEA,34,16,18,0.471,12,18,16,WNBA,2016,Western,4,Yes
Dallas Wings,DAL,34,11,23,0.324,17,10,24,WNBA,2016,Western,5,No
San Antonio Stars,SAS,34,7,27,0.206,21,6,28,WNBA,2016,Western,6,No
New York Liberty,NYL,34,22,12,0.647,0,22,12,WNBA,2017,Eastern,1,Yes
Connecticut Sun,CON,34,21,13,0.618,1,23,11,WNBA,2017,Eastern,2,Yes
Washington Mystics,WAS,34,18,16,0.529,4,18,16,WNBA,2017,Eastern,3,Yes
Atlanta Dream,ATL,34,12,22,0.353,10,12,22,WNBA,2017,Eastern,4,No
Chicago Sky,CHI,34,12,22,0.353,10,10,24,WNBA,2017,Eastern,5,No
Indiana Fever,IND,34,9,25,0.265,13,6,28,WNBA,2017,Eastern,6,No
Minnesota Lynx,MIN,34,27,7,0.794,0,30,4,WNBA,2017,Western,1,Yes
Los Angeles Sparks,LAS,34,26,8,0.765,1,28,6,WNBA,2017,Western,2,Yes
Phoenix Mercury,PHO,34,18,16,0.529,9,17,17,WNBA,2017,Western,3,Yes
Dallas Wings,DAL,34,16,18,0.471,11,13,21,WNBA,2017,Western,4,Yes
Seattle Storm,SEA,34,15,19,0.441,12,17,17,WNBA,2017,Western,5,Yes
San Antonio Stars,SAS,34,8,26,0.235,19,8,26,WNBA,2017,Western,6,No
Atlanta Dream,ATL,34,23,11,0.676,0,20,14,WNBA,2018,Eastern,1,Yes
Washington Mystics,WAS,34,22,12,0.647,1.5,21,13,WNBA,2018,Eastern,2,Yes
Connecticut Sun,CON,34,21,13,0.618,2,25,9,WNBA,2018,Eastern,3,Yes
Chicago Sky,CHI,34,13,21,0.382,10,9,25,WNBA,2018,Eastern,4,No
New York Liberty,NYL,34,7,27,0.206,16,8,26,WNBA,2018,Eastern,5,No
Indiana Fever,IND,34,6,28,0.176,17,6,28,WNBA,2018,Eastern,6,No
Seattle Storm,SEA,34,26,8,0.765,0,27,7,WNBA,2018,Western,1,Yes
Phoenix Mercury,PHO,34,20,14,0.588,6,21,13,WNBA,2018,Western,2,Yes
Los Angeles Sparks,LAS,34,19,15,0.559,7,20,14,WNBA,2018,Western,3,Yes
Minnesota Lynx,MIN,34,18,16,0.529,8,18,16,WNBA,2018,Western,4,Yes
Dallas Wings,DAL,34,15,19,0.441,11,19,15,WNBA,2018,Western,5,Yes
Las Vegas Aces,LVA,34,14,20,0.412,11.5,13,21,WNBA,2018,Western,6,No
Washington Mystics,WAS,34,26,8,0.765,0,30,4,WNBA,2019,Eastern,1,Yes
Connecticut Sun,CON,34,23,11,0.676,3,21,13,WNBA,2019,Eastern,2,Yes
Chicago Sky,CHI,34,20,14,0.588,6,19,15,WNBA,2019,Eastern,3,Yes
Indiana Fever,IND,34,13,21,0.382,13,13,21,WNBA,2019,Eastern,4,No
New York Liberty,NYL,34,10,24,0.294,16,7,27,WNBA,2019,Eastern,5,No
Atlanta Dream,ATL,34,8,26,0.235,18,7,27,WNBA,2019,Eastern,6,No
Los Angeles Sparks,LAS,34,22,12,0.647,0,21,13,WNBA,2019,Western,1,Yes
Las Vegas Aces,LVA,34,21,13,0.618,1,22,12,WNBA,2019,Western,2,Yes
Minnesota Lynx,MIN,34,18,16,0.529,4,21,13,WNBA,2019,Western,3,Yes
Seattle Storm,SEA,34,18,16,0.529,4,17,17,WNBA,2019,Western,4,Yes
Phoenix Mercury,PHO,34,15,19,0.441,7,15,19,WNBA,2019,Western,5,Yes
Dallas Wings,DAL,34,10,24,0.294,12,9,25,WNBA,2019,Western,6,No
Chicago Sky,CHI,22,12,10,0.545,0,13,9,WNBA,2020,Eastern,1,Yes
Connecticut Sun,CON,22,10,12,0.455,2,11,11,WNBA,2020,Eastern,2,Yes
Washington Mystics,WAS,22,9,13,0.409,3,10,12,WNBA,2020,Eastern,3,Yes
Atlanta Dream,ATL,22,7,15,0.318,5,5,17,WNBA,2020,Eastern,4,No
Indiana Fever,IND,22,6,16,0.273,6,5,17,WNBA,2020,Eastern,5,No
New York Liberty,NYL,22,2,20,0.091,10,2,20,WNBA,2020,Eastern,6,No
Las Vegas Aces,LVA,22,18,4,0.818,0,18,4,WNBA,2020,Western,1,Yes
Seattle Storm,SEA,22,18,4,0.818,0,19,3,WNBA,2020,Western,2,Yes
Los Angeles Sparks,LAS,22,15,7,0.682,3,15,7,WNBA,2020,Western,3,Yes
Minnesota Lynx,MIN,22,14,8,0.636,4,14,8,WNBA,2020,Western,4,Yes
Phoenix Mercury,PHO,22,13,9,0.591,5,13,9,WNBA,2020,Western,5,Yes
Dallas Wings,DAL,22,8,14,0.364,10,8,14,WNBA,2020,Western,6,No
Connecticut Sun,CON,32,26,6,0.813,0,28,4,WNBA,2021,Eastern,1,Yes
Chicago Sky,CHI,32,16,16,0.5,10,18,14,WNBA,2021,Eastern,2,Yes
New York Liberty,NYL,32,12,20,0.375,14,7,25,WNBA,2021,Eastern,3,Yes
Washington Mystics,WAS,32,12,20,0.375,14,11,21,WNBA,2021,Eastern,4,No
Atlanta Dream,ATL,32,8,24,0.25,18,9,23,WNBA,2021,Eastern,5,No
Indiana Fever,IND,32,6,26,0.188,20,5,27,WNBA,2021,Eastern,6,No
Las Vegas Aces,LVA,32,24,8,0.75,0,26,6,WNBA,2021,Western,1,Yes
Minnesota Lynx,MIN,32,22,10,0.688,2,21,11,WNBA,2021,Western,2,Yes
Seattle Storm,SEA,32,21,11,0.656,3,22,10,WNBA,2021,Western,3,Yes
Phoenix Mercury,PHO,32,19,13,0.594,5,19,13,WNBA,2021,Western,4,Yes
Dallas Wings,DAL,32,14,18,0.438,10,15,17,WNBA,2021,Western,5,Yes
Los Angeles Sparks,LAS,32,12,20,0.375,12,10,22,WNBA,2021,Western,6,No
Chicago Sky,CHI,36,26,10,0.722,0,25,11,WNBA,2022,Eastern,1,Yes
Connecticut Sun,CON,36,25,11,0.694,1,29,7,WNBA,2022,Eastern,2,Yes
Washington Mystics,WAS,36,22,14,0.611,4,25,11,WNBA,2022,Eastern,3,Yes
New York Liberty,NYL,36,16,20,0.444,10,14,22,WNBA,2022,Eastern,4,Yes
Atlanta Dream,ATL,36,14,22,0.389,12,13,23,WNBA,2022,Eastern,5,No
Indiana Fever,IND,36,5,31,0.139,21,5,31,WNBA,2022,Eastern,6,No
Las Vegas Aces,LVA,36,26,10,0.722,0,26,10,WNBA,2022,Western,1,Yes
Seattle Storm,SEA,36,22,14,0.611,4,24,12,WNBA,2022,Western,2,Yes
Dallas Wings,DAL,36,18,18,0.5,8,18,18,WNBA,2022,Western,3,Yes
Phoenix Mercury,PHO,36,15,21,0.417,11,14,22,WNBA,2022,Western,4,Yes
Minnesota Lynx,MIN,36,14,22,0.389,12,16,20,WNBA,2022,Western,5,No
Los Angeles Sparks,LAS,36,13,23,0.361,13,8,28,WNBA,2022,Western,6,No
New York Liberty,NYL,40,32,8,0.8,0,32,8,WNBA,2023,Eastern,1,Yes
Connecticut Sun,CON,40,27,13,0.675,5,26,14,WNBA,2023,Eastern,2,Yes
Atlanta Dream,ATL,40,19,21,0.475,13,18,22,WNBA,2023,Eastern,3,Yes
Washington Mystics,WAS,40,19,21,0.475,13,19,21,WNBA,2023,Eastern,4,Yes
Chicago Sky,CHI,40,18,22,0.45,14,17,23,WNBA,2023,Eastern,5,Yes
Indiana Fever,IND,40,13,27,0.325,19,13,27,WNBA,2023,Eastern,6,No
Las Vegas Aces,LVA,40,34,6,0.85,0,35,5,WNBA,2023,Western,1,Yes
Dallas Wings,DAL,40,22,18,0.55,12,25,15,WNBA,2023,Western,2,Yes
Minnesota Lynx,MIN,40,19,21,0.475,15,12,28,WNBA,2023,Western,3,Yes
Los Angeles Sparks,LAS,40,17,23,0.425,17,17,23,WNBA,2023,Western,4,No
Seattle Storm,SEA,40,11,29,0.275,23,11,29,WNBA,2023,Western,5,No
Phoenix Mercury,PHO,40,9,31,0.225,25,8,32,WNBA,2023,Western,6,No
New York Liberty,NYL,40,32,8,0.8,0,33,7,WNBA,2024,Eastern,1,Yes
Connecticut Sun,CON,40,28,12,0.7,4,31,9,WNBA,2024,Eastern,2,Yes
Indiana Fever,IND,40,20,20,0.5,12,16,24,WNBA,2024,Eastern,3,Yes
Atlanta Dream,ATL,40,15,25,0.375,17,15,25,WNBA,2024,Eastern,4,Yes
Washington Mystics,WAS,40,14,26,0.35,18,15,25,WNBA,2024,Eastern,5,No
Chicago Sky,CHI,40,13,27,0.325,19,12,28,WNBA,2024,Eastern,6,No
Minnesota Lynx,MIN,40,30,10,0.75,0,30,10,WNBA,2024,Western,1,Yes
Las Vegas Aces,LVA,40,27,13,0.675,3,29,11,WNBA,2024,Western,2,Yes
Seattle Storm,SEA,40,25,15,0.625,5,27,13,WNBA,2024,Western,3,Yes
Phoenix Mercury,PHO,40,19,21,0.475,11,15,25,WNBA,2024,Western,4,Yes
Dallas Wings,DAL,40,9,31,0.225,21,9,31,WNBA,2024,Western,5,No
Los Angeles Sparks,LAS,40,8,32,0.2,22,9,31,WNBA,2024,Western,6,No
